AllTengwar,OOtehtaShift,UUtehtaShift,EEtehtaShift,DownEEtehtaShift,DblUnderStrokeShift,AtehtaShift,DownAtehtaShift,YtehtaShift,DownYtehtaShift,ItehtaShift,DownItehtaShift,EtehtaShift,DownEtehtaShift,OtehtaShift,UtehtaShift,ThinnasShift,DotinsideShift,UnderbarShift,InvAtehtaShift,OverbarShift,EngYtehtaShift,RevEtehtaShift,YantatehtaShift,Underliners
tinco,ootehta.norm22,uutehta.norm19,eetehta.norm20,downeetehta.norm15,dblunderstroke.norm18,atehta.norm20,downatehta.norm18,ytehta.norm20,downytehta.narrow18,itehta.norm20,downitehta.norm19,etehta.norm20,downetehta.narrow17,otehta.wide26,utehta.norm19,thinnas.norm18,dotinside.norm19,underbar.norm20,invatehta.norm20,overbar.norm20,engytehta.norm20,revetehta.norm20,yantatehta.norm20,uline0
tinco.conr,ootehta.norm22,uutehta.norm19,eetehta.norm20,downeetehta.norm15,dblunderstroke.norm18,atehta.norm20,downatehta.norm18,ytehta.norm20,downytehta.narrow18,itehta.norm20,downitehta.norm19,etehta.norm20,downetehta.narrow17,otehta.wide26,utehta.norm19,thinnas.norm18,dotinside.norm19,underbar.norm20,invatehta.norm20,overbar.norm20,engytehta.norm20,revetehta.norm20,yantatehta.norm20,uline0
tinco.conl,ootehta.norm22,uutehta.norm19,eetehta.norm20,downeetehta.norm15,dblunderstroke.norm18,atehta.norm20,downatehta.norm18,ytehta.norm20,downytehta.narrow18,itehta.norm20,downitehta.norm19,etehta.norm20,downetehta.narrow17,otehta.wide26,utehta.norm19,thinnas.norm18,dotinside.norm19,underbar.norm20,invatehta.norm20,overbar.norm20,engytehta.norm20,revetehta.norm20,yantatehta.norm20,uline0
tinco.conb,ootehta.norm22,uutehta.norm19,eetehta.norm20,downeetehta.norm15,dblunderstroke.norm18,atehta.norm20,downatehta.norm18,ytehta.norm20,downytehta.narrow18,itehta.norm20,downitehta.norm19,etehta.norm20,downetehta.narrow17,otehta.wide26,utehta.norm19,thinnas.norm18,dotinside.norm19,underbar.norm20,invatehta.norm20,overbar.norm20,engytehta.norm20,revetehta.norm20,yantatehta.norm20,uline0
ando,ootehta.wide29,uutehta.norm29,eetehta.norm30,downeetehta.norm28,dblunderstroke.norm28,atehta.norm29,downatehta.norm28,ytehta.norm29,downytehta.norm28,itehta.norm29,downitehta.norm28,etehta.norm29,downetehta.norm27,otehta.wide29,utehta.norm29,thinnas.norm30,dotinside,underbar.wide29,invatehta.norm30,overbar.wide30,engytehta.wide30,revetehta.norm30,yantatehta.norm30,uline1
ando.conr,ootehta.wide29,uutehta.norm29,eetehta.norm30,downeetehta.norm28,dblunderstroke.norm28,atehta.norm29,downatehta.norm28,ytehta.norm29,downytehta.norm28,itehta.norm29,downitehta.norm28,etehta.norm29,downetehta.norm27,otehta.wide29,utehta.norm29,thinnas.norm30,dotinside,underbar.wide29,invatehta.norm30,overbar.wide30,engytehta.wide30,revetehta.norm30,yantatehta.norm30,uline1
ando.conl,ootehta.wide29,uutehta.norm29,eetehta.norm30,downeetehta.norm28,dblunderstroke.norm28,atehta.norm29,downatehta.norm28,ytehta.norm29,downytehta.norm28,itehta.norm29,downitehta.norm28,etehta.norm29,downetehta.norm27,otehta.wide29,utehta.norm29,thinnas.norm30,dotinside,underbar.wide29,invatehta.norm30,overbar.wide30,engytehta.wide30,revetehta.norm30,yantatehta.norm30,uline1
ando.conb,ootehta.wide29,uutehta.norm29,eetehta.norm30,downeetehta.norm28,dblunderstroke.norm28,atehta.norm29,downatehta.norm28,ytehta.norm29,downytehta.norm28,itehta.norm29,downitehta.norm28,etehta.norm29,downetehta.norm27,otehta.wide29,utehta.norm29,thinnas.norm30,dotinside,underbar.wide29,invatehta.norm30,overbar.wide30,engytehta.wide30,revetehta.norm30,yantatehta.norm30,uline1
thuule,ootehta.norm20,uutehta.norm17,eetehta.norm17,downeetehta.norm22,dblunderstroke.norm22,atehta.norm17,downatehta.norm22,ytehta.narrow17,downytehta.norm22,itehta.norm19,downitehta.norm22,etehta.norm18,downetehta.norm20,otehta.wide23,utehta.norm17,thinnas.norm22,dotinside.norm19,underbar.norm23,invatehta.norm17,overbar.norm20,engytehta.norm17,revetehta.norm17,yantatehta.norm17,uline2
thuule.conr,ootehta.norm20,uutehta.norm17,eetehta.norm17,downeetehta.norm22,dblunderstroke.norm22,atehta.norm17,downatehta.norm22,ytehta.narrow17,downytehta.norm22,itehta.norm19,downitehta.norm22,etehta.norm18,downetehta.norm20,otehta.wide23,utehta.norm17,thinnas.norm22,dotinside.norm19,underbar.norm23,invatehta.norm17,overbar.norm20,engytehta.norm17,revetehta.norm17,yantatehta.norm17,uline2
